anzsco_code,title,major_group_code,major_group,skill_level,employment_thousands,avg_weekly_earnings,growth_5y_pct,growth_10y_pct,shortage_rating,tasks_text
1111,Chief Executives and Managing Directors,1,Managers,1,63.394,2962.8,6.85,14.09,NS,
1112,General Managers,1,Managers,1,74.833,3476.7,6.47,13.75,NS,
1113,Legislators,1,Managers,1,1.839,,5.94,10.85,,
1211,Aquaculture Farmers,1,Managers,1,1.422,,8.67,17.56,NS,
1213,Livestock Farmers,1,Managers,1,76.354,2249.8,-2.91,1.21,NS,
1215,Broadacre Crop Growers,1,Managers,1,,,,,NS,
1216,Horticultural Crop Growers,1,Managers,1,,,,,NS,
1217,Mixed Production Farmers,1,Managers,1,,,,,NS,
1311,"Advertising, Public Relations and Sales Managers",1,Managers,1,174.129,3033.6,9.36,17.51,NS,
1321,Corporate Services Managers,1,Managers,1,22.461,3263.0,12.58,21.87,NS,
1322,Finance Managers,1,Managers,1,75.794,3155.3,12.4,21.85,NS,
1323,Human Resource Managers,1,Managers,1,108.31,2995.7,12.39,21.78,NS,
1324,Policy and Planning Managers,1,Managers,1,47.309,3302.3,12.08,20.31,NS,
1325,Research and Development Managers,1,Managers,1,25.282,3133.3,12.81,22.79,NS,
1331,Construction Managers,1,Managers,1,130.771,2837.7,14.92,22.19,S,
1332,Engineering Managers,1,Managers,1,28.63,3938.8,8.29,15.81,NS,
1333,"Importers, Exporters and Wholesalers",1,Managers,1,19.294,1903.4,8.34,16.4,NS,
1334,Manufacturers,1,Managers,1,13.065,2124.4,10.1,18.82,NS,
1335,Production Managers,1,Managers,1,68.189,2817.8,9.01,16.8,NS,
1336,"Supply, Distribution and Procurement Managers",1,Managers,1,58.958,2915.3,8.05,15.53,NS,
1341,Child Care Centre Managers,1,Managers,1,11.108,1650.3,9.0,15.92,NS,
1342,Health and Welfare Services Managers,1,Managers,1,47.431,2720.9,15.17,27.09,NS,
1343,School Principals,1,Managers,1,31.323,2939.8,8.35,14.97,NS,
1344,Other Education Managers,1,Managers,1,14.217,2822.8,9.72,19.6,NS,
1351,ICT Managers,1,Managers,1,90.446,3573.4,15.01,25.45,NS,
1391,Commissioned Officers (Management),1,Managers,1,5.099,3872.8,10.93,17.48,,
1392,Senior Non-commissioned Defence Force Members,1,Managers,1,0.269,,10.5,16.71,,
1399,Other Specialist Managers,1,Managers,1,74.438,3105.7,11.53,20.42,NS,
1411,Cafe and Restaurant Managers,1,Managers,2,62.984,1492.1,1.75,7.17,NS,
1412,Caravan Park and Camping Ground Managers,1,Managers,2,3.594,1499.8,0.14,7.64,NS,
1413,Hotel and Motel Managers,1,Managers,2,17.254,1744.3,0.94,7.4,NS,
1414,Licensed Club Managers,1,Managers,2,8.882,1729.2,1.69,7.01,NS,
1419,Other Accommodation and Hospitality Managers,1,Managers,2,3.482,2084.4,2.12,9.27,NS,
1421,Retail Managers,1,Managers,2,243.972,1614.2,2.02,6.77,NS,
1491,"Amusement, Fitness and Sports Centre Managers",1,Managers,2,17.734,1490.5,5.69,12.11,NS,
1492,Call or Contact Centre and Customer Service Managers,1,Managers,2,44.08,2483.5,6.81,13.4,NS,
1493,Conference and Event Organisers,1,Managers,2,24.845,1547.1,5.62,12.23,NS,
1494,Transport Services Managers,1,Managers,2,26.067,2358.4,6.01,12.24,NS,
1499,"Other Hospitality, Retail and Service Managers",1,Managers,2,87.912,2394.7,6.75,13.44,NS,
2111,"Actors, Dancers and Other Entertainers",2,Professionals,1,10.667,763.5,5.22,11.65,NS,
2112,Music Professionals,2,Professionals,1,15.549,1048.5,4.98,11.01,NS,
2113,Photographers,2,Professionals,2,11.612,1734.7,5.99,12.8,NS,
2114,Visual Arts and Crafts Professionals,2,Professionals,"1,2",17.8,1676.9,5.6,11.77,NS,
2121,"Artistic Directors, and Media Producers and Presenters",2,Professionals,1,13.15,1999.2,9.69,18.95,NS,
2122,"Authors, and Book and Script Editors",2,Professionals,1,9.68,1415.4,9.45,18.21,NS,
2123,"Film, Television, Radio and Stage Directors",2,Professionals,1,20.783,2017.1,9.71,19.14,NS,
2124,Journalists and Other Writers,2,Professionals,1,24.02,1794.2,9.55,18.75,NS,
2211,Accountants,2,Professionals,1,213.719,1829.3,8.44,16.63,NS,
2212,"Auditors, Company Secretaries and Corporate Treasurers",2,Professionals,1,38.428,2258.5,8.03,15.89,S,
2221,Financial Brokers,2,Professionals,2,53.987,1902.6,6.01,12.65,NS,
2222,Financial Dealers,2,Professionals,"1 Aus,2 NZ",16.333,2668.1,5.45,12.47,NS,
2223,Financial Investment Advisers and Managers,2,Professionals,"1 Aus,2 NZ",59.322,2402.6,6.14,12.73,NS,
2231,Human Resource Professionals,2,Professionals,1,81.634,1895.6,7.39,14.77,NS,
2233,Training and Development Professionals,2,Professionals,1,29.98,1991.5,7.52,14.86,NS,
2241,Mathematical Science Professionals,2,Professionals,1,12.151,2186.0,16.08,27.51,NS,
2242,"Archivists, Curators and Records Managers",2,Professionals,1,9.21,1845.5,17.34,29.1,NS,
2243,Economists,2,Professionals,1,5.958,2314.6,15.72,25.98,NS,
2244,Intelligence and Policy Analysts,2,Professionals,1,42.377,2185.3,15.98,25.17,NS,
2245,Land Economists and Valuers,2,Professionals,1,13.118,2562.2,18.25,29.33,NS,
2246,Librarians,2,Professionals,1,13.133,1811.3,15.66,25.9,NS,
2247,Management and Organisation Analysts,2,Professionals,1,94.107,2397.9,16.15,27.31,NS,
2249,Other Information and Organisation Professionals,2,Professionals,1,44.18,2217.6,16.0,26.61,NS,
2251,Advertising and Marketing Professionals,2,Professionals,1,112.138,2002.7,12.56,22.08,NS,
2252,ICT Sales Professionals,2,Professionals,1,21.466,2324.8,13.63,23.1,NS,
2253,Public Relations Professionals,2,Professionals,1,31.443,1970.3,12.34,21.2,NS,
2254,Technical Sales Representatives,2,Professionals,1,28.694,2616.2,13.96,24.63,NS,
2311,Air Transport Professionals,2,Professionals,1,16.307,3023.9,5.65,13.66,S,
2312,Marine Transport Professionals,2,Professionals,2,10.008,2338.5,5.26,11.99,S,
2321,Architects and Landscape Architects,2,Professionals,1,44.692,2218.3,10.26,19.2,NS,
2322,Surveyors and Spatial Scientists,2,Professionals,1,12.196,2273.8,10.2,18.61,S,
2323,"Fashion, Industrial and Jewellery Designers",2,Professionals,1,13.063,1865.4,11.22,20.92,NS,
2324,"Graphic and Web Designers, and Illustrators",2,Professionals,1,59.568,1817.9,9.86,18.96,NS,
2325,Interior Designers,2,Professionals,2,16.717,1544.9,11.05,20.02,NS,
2326,Urban and Regional Planners,2,Professionals,1,17.746,2217.4,9.9,17.63,R,
2331,Chemical and Materials Engineers,2,Professionals,1,5.5,2460.4,13.15,23.18,NS,
2332,Civil Engineering Professionals,2,Professionals,1,86.889,2337.7,11.58,20.99,S,
2333,Electrical Engineers,2,Professionals,1,30.552,2612.3,12.04,21.8,S,
2334,Electronics Engineers,2,Professionals,1,6.706,2739.2,12.24,22.95,NS,
2335,"Industrial, Mechanical and Production Engineers",2,Professionals,1,46.504,2682.5,12.71,23.07,NS,
2336,Mining Engineers,2,Professionals,1,20.352,3461.6,11.16,18.48,S,
2339,Other Engineering Professionals,2,Professionals,1,24.205,2491.2,12.41,22.96,S,
2341,"Agricultural, Fisheries and Forestry Scientists",2,Professionals,1,11.213,2219.2,8.76,17.48,S,
2342,"Chemists, and Food and Wine Scientists",2,Professionals,1,7.866,2026.6,10.34,19.57,NS,
2343,Environmental Scientists,2,Professionals,1,29.794,1742.3,8.9,16.64,NS,
2344,"Geologists, Geophysicists and Hydrogeologists",2,Professionals,1,12.838,2872.7,10.16,16.55,S,
2345,Life Scientists,2,Professionals,1,11.775,1909.8,9.96,19.75,NS,
2346,Medical Scientists,2,Professionals,1,29.891,1847.4,12.69,24.81,NS,
2347,Veterinarians,2,Professionals,1,14.215,1627.1,9.08,17.8,S,
2349,Other Natural and Physical Science Professionals,2,Professionals,1,13.829,1856.3,13.11,24.68,NS,
2411,Early Childhood (Pre-primary School) Teachers,2,Professionals,1,63.076,1346.1,5.72,12.08,S,
2412,Primary School Teachers,2,Professionals,1,147.208,1758.2,5.46,11.71,S,
2413,Middle School Teachers / Intermediate School Teachers,2,Professionals,1,2.303,1863.0,5.54,11.89,S,
2414,Secondary School Teachers,2,Professionals,1,161.545,2025.4,5.45,11.68,S,
2415,Special Education Teachers,2,Professionals,1,31.831,2060.4,5.87,12.64,S,
2421,University Lecturers and Tutors,2,Professionals,1,59.21,1830.8,8.82,20.04,NS,
2422,Vocational Education Teachers / Polytechnic Teachers,2,Professionals,1,45.211,1638.0,8.95,19.19,S,
2491,Education Advisers and Reviewers,2,Professionals,1,26.823,2033.4,6.8,14.39,NS,
2492,Private Tutors and Teachers,2,Professionals,1,60.525,346.1,6.17,13.77,NS,
2493,Teachers of English to Speakers of Other Languages,2,Professionals,1,4.481,1503.2,6.31,14.11,NS,
2511,Nutrition Professionals,2,Professionals,1,9.989,1480.5,16.65,30.4,NS,
2512,Medical Imaging Professionals,2,Professionals,1,29.855,2042.9,18.11,33.13,S,
2513,Occupational and Environmental Health Professionals,2,Professionals,1,40.964,2123.2,11.31,19.77,NS,
2514,Optometrists and Orthoptists,2,Professionals,1,9.465,1881.1,18.0,32.94,NS,
2515,Pharmacists,2,Professionals,1,51.879,1547.7,10.89,19.96,S,
2519,Other Health Diagnostic and Promotion Professionals,2,Professionals,1,10.55,1599.3,14.96,26.95,NS,
2521,Chiropractors and Osteopaths,2,Professionals,1,6.134,1087.9,20.09,35.97,S,
2522,Complementary Health Therapists,2,Professionals,1,5.801,,18.99,33.97,NS,
2523,Dental Practitioners,2,Professionals,1,25.878,2471.8,19.99,35.78,S,
2524,Occupational Therapists,2,Professionals,1,40.396,1829.6,18.75,33.1,S,
2525,Physiotherapists,2,Professionals,1,43.934,1581.4,19.69,35.1,S,
2526,Podiatrists,2,Professionals,1,7.066,1271.8,19.97,35.71,S,
2527,Audiologists and Speech Pathologists / Therapists,2,Professionals,1,24.241,1517.7,18.48,32.72,S,
2531,General Practitioners and Resident Medical Officers,2,Professionals,1,103.706,2654.3,18.01,32.96,S,
2532,Anaesthetists,2,Professionals,1,7.681,5365.6,18.13,33.19,S,
2533,Specialist Physicians,2,Professionals,1,14.086,3440.0,17.95,32.85,S,
2534,Psychiatrists,2,Professionals,1,9.409,3381.3,17.7,32.26,S,
2535,Surgeons,2,Professionals,1,3.819,4158.7,18.1,33.15,S,
2539,Other Medical Practitioners,2,Professionals,1,30.188,3867.8,18.04,33.02,S,
2541,Midwives,2,Professionals,1,19.589,1481.8,13.91,26.74,S,
2542,Nurse Educators and Researchers,2,Professionals,1,7.798,2032.3,11.73,23.2,NS,
2543,Nurse Managers,2,Professionals,1,30.385,2443.3,13.64,26.06,NS,
2544,Registered Nurses,2,Professionals,1,364.096,1718.3,13.67,26.08,S,
2611,ICT Business and Systems Analysts,2,Professionals,1,49.209,2737.1,15.07,25.88,NS,
2612,Multimedia Specialists and Web Developers,2,Professionals,1,12.72,2228.8,15.88,26.88,NS,
2613,Software and Applications Programmers,2,Professionals,1,216.124,2610.2,15.69,26.67,NS,
2621,"Database and Systems Administrators, and ICT Security Specialists",2,Professionals,1,70.27,2408.4,14.01,24.04,NS,
2631,Computer Network Professionals,2,Professionals,1,48.947,2398.2,14.77,25.16,NS,
2632,ICT Support and Test Engineers,2,Professionals,1,12.533,2305.3,14.94,25.38,NS,
2633,Telecommunications Engineering Professionals,2,Professionals,1,9.609,2904.0,11.41,21.89,NS,
2711,Barristers,2,Professionals,1,9.57,3062.9,11.71,20.95,NS,
2712,Judicial and Other Legal Professionals,2,Professionals,1,16.42,3039.7,11.86,20.44,NS,
2713,Solicitors,2,Professionals,1,113.624,2298.9,11.67,21.25,S,
2721,Counsellors,2,Professionals,1,37.423,1407.1,12.98,23.36,NS,
2722,Ministers of Religion,2,Professionals,1,22.541,1210.0,9.31,18.64,NS,
2723,Psychologists,2,Professionals,1,57.799,1532.7,16.81,30.6,S,
2724,Social Professionals,2,Professionals,1,13.206,1356.7,11.61,21.24,NS,
2725,Social Workers,2,Professionals,1,42.078,1928.4,14.6,25.31,NS,
2726,"Welfare, Recreation and Community Arts Workers",2,Professionals,1,41.889,1716.9,13.67,23.4,NS,
3111,"Agricultural, Agritech and Aquaculture Technicians",3,Technicians and Trades Workers,,3.904,1678.7,3.21,8.73,S,
3112,Medical Technicians,3,Technicians and Trades Workers,"2,3",34.858,1275.8,7.97,17.42,NS,
3113,Primary Products Assurance and Inspection Officers,3,Technicians and Trades Workers,2,4.464,1633.1,1.78,5.4,NS,
3114,Science Technicians,3,Technicians and Trades Workers,2,24.521,1587.8,3.3,8.6,NS,
3121,"Architectural, Building and Surveying Technicians",3,Technicians and Trades Workers,2,73.345,2304.9,8.26,14.18,NS,
3122,Civil Engineering Draftspersons and Technicians,3,Technicians and Trades Workers,2,9.617,1683.1,5.22,11.27,S,
3123,Electrical Engineering Draftspersons and Technicians,3,Technicians and Trades Workers,2,10.39,2695.8,5.65,11.89,M,
3124,Electronic Engineering Draftspersons and Technicians,3,Technicians and Trades Workers,2,5.929,1753.4,4.88,12.05,S,
3125,Mechanical Engineering Draftspersons and Technicians,3,Technicians and Trades Workers,2,5.08,2671.1,5.92,12.62,S,
3126,Safety Inspectors,3,Technicians and Trades Workers,2,5.531,1745.3,5.38,10.66,NS,
3129,Other Building and Engineering Technicians,3,Technicians and Trades Workers,2,44.853,3008.1,6.41,11.65,NS,
3131,ICT Support Technicians,3,Technicians and Trades Workers,2,86.136,1737.0,9.39,17.44,NS,
3132,Telecommunications Technical Specialists,3,Technicians and Trades Workers,2,5.273,2303.8,5.47,13.72,NS,
3211,Automotive Electricians,3,Technicians and Trades Workers,3,11.484,2513.3,3.26,7.8,S,
3212,Motor Mechanics,3,Technicians and Trades Workers,3,120.302,1561.5,2.67,7.51,S,
3221,"Metal Casting, Forging and Finishing Trades Workers",3,Technicians and Trades Workers,3,4.134,,0.7,4.85,S,
3222,Sheetmetal Workers,3,Technicians and Trades Workers,3,2.906,1648.2,5.34,10.46,S,
3223,Structural Steel and Welding Trades Workers,3,Technicians and Trades Workers,3,79.969,1815.8,2.93,7.48,S,
3231,Aircraft Maintenance Engineers,3,Technicians and Trades Workers,3,10.039,2039.7,1.04,6.93,S,
3232,Metal Fitters and Machinists,3,Technicians and Trades Workers,3,119.087,2486.9,2.96,7.22,S,
3233,Precision Metal Trades Workers,3,Technicians and Trades Workers,3,8.301,1308.9,3.01,7.96,S,
3234,Toolmakers and Engineering Patternmakers,3,Technicians and Trades Workers,3,1.336,840.8,4.36,10.27,S,
3241,Panelbeaters,3,Technicians and Trades Workers,3,13.597,1797.4,-3.05,0.01,S,
3242,Vehicle Body Builders and Trimmers,3,Technicians and Trades Workers,3,6.461,740.2,-1.38,2.54,S,
3243,Vehicle Painters,3,Technicians and Trades Workers,3,9.578,1721.3,-2.95,0.15,S,
3311,Bricklayers and Stonemasons,3,Technicians and Trades Workers,3,21.818,1688.4,5.23,9.81,S,
3312,Carpenters and Joiners,3,Technicians and Trades Workers,3,151.715,1672.1,6.42,10.92,S,
3321,Floor Finishers,3,Technicians and Trades Workers,3,10.857,1862.8,3.36,7.57,S,
3322,Painters,3,Technicians and Trades Workers,3,47.883,1365.2,3.65,7.88,S,
3331,Glaziers,3,Technicians and Trades Workers,3,9.195,1850.1,0.09,3.55,S,
3332,Plasterers and Renderers,3,Technicians and Trades Workers,3,31.442,1311.0,2.35,5.73,S,
3333,Roof Tilers,3,Technicians and Trades Workers,3,8.169,388.6,1.06,4.39,S,
3334,Wall and Floor Tilers,3,Technicians and Trades Workers,3,19.616,1104.2,2.96,6.38,S,
3341,Plumbers,3,Technicians and Trades Workers,3,107.865,1746.8,5.2,10.22,S,
3411,Electricians,3,Technicians and Trades Workers,3,200.971,2129.2,6.68,11.98,S,
3421,Airconditioning and Refrigeration Mechanics,3,Technicians and Trades Workers,3,34.346,2069.7,2.34,6.68,S,
3422,Electrical Distribution Trades Workers,3,Technicians and Trades Workers,3,12.441,3047.3,0.84,5.21,S,
3423,Electronics Trades Workers,3,Technicians and Trades Workers,3,29.365,1822.2,1.84,6.19,R,
3424,Telecommunications Trades Workers,3,Technicians and Trades Workers,3,15.177,2151.4,-0.96,3.76,S,
3511,Bakers and Pastrycooks,3,Technicians and Trades Workers,3,32.569,1151.8,2.96,8.05,S,
3512,Butchers and Smallgoods Makers,3,Technicians and Trades Workers,3,16.603,1397.7,4.49,9.51,S,
3513,Chefs,3,Technicians and Trades Workers,2,134.491,1270.1,5.76,12.47,R,
3514,Cooks,3,Technicians and Trades Workers,"3 Aus,4 NZ",25.211,962.6,5.97,12.54,S,
3611,Animal Attendants and Trainers,3,Technicians and Trades Workers,"3,4",26.846,1016.3,5.1,11.0,NS,
3613,Veterinary Nurses,3,Technicians and Trades Workers,3,18.129,969.3,5.93,11.71,S,
3621,Florists,3,Technicians and Trades Workers,3,7.51,1193.7,1.05,4.82,NS,
3623,Sports Turf Managers and Trades Workers,3,Technicians and Trades Workers,"2,3",16.717,1363.8,1.88,6.31,NS,
3624,Nurserypersons,3,Technicians and Trades Workers,3,6.017,1244.8,2.7,8.79,NS,
3625,Arboriculture Workers,3,Technicians and Trades Workers,"2,3 ",,1444.0,,,S,
3626,Gardeners (General),3,Technicians and Trades Workers,3,,1009.4,,,NS,
3627,Landscape Gardeners and Irrigation Technicians,3,Technicians and Trades Workers,3,,1398.1,,,S,
3631,"Senior Aquaculture, Crop and Forestry Workers",3,Technicians and Trades Workers,3,,,,,NS,
3632,Senior Livestock Farm Workers,3,Technicians and Trades Workers,3,,,,,NS,
3633,Shearers and Wool Classers,3,Technicians and Trades Workers,"2,3 ",,,,,NS,
3911,Hairdressers,3,Technicians and Trades Workers,3,56.444,887.6,0.75,5.61,S,
3921,Print Finishers and Screen Printers,3,Technicians and Trades Workers,3,2.24,960.5,-0.23,5.08,NS,
3922,Graphic Pre-press Trades Workers,3,Technicians and Trades Workers,3,0.616,1762.0,1.05,6.5,S,
3923,Printers,3,Technicians and Trades Workers,3,6.79,1395.9,-0.45,4.96,NS,
3931,Canvas and Leather Goods Makers,3,Technicians and Trades Workers,3,0.921,,1.15,5.98,NS,
3932,Clothing Trades Workers,3,Technicians and Trades Workers,3,9.84,595.7,3.84,9.97,NS,
3933,Upholsterers,3,Technicians and Trades Workers,3,2.612,1384.4,1.02,6.01,S,
3941,Cabinet and Furniture Makers,3,Technicians and Trades Workers,3,27.876,1358.5,2.59,7.8,S,
3942,Wood Machinists and Other Wood Trades Workers,3,Technicians and Trades Workers,3,4.977,1186.1,1.84,6.09,NS,
3991,Boat Builders and Shipwrights,3,Technicians and Trades Workers,3,2.772,1896.1,-2.18,3.57,S,
3992,"Chemical, Gas, Petroleum and Power Generation Plant Operators",3,Technicians and Trades Workers,3,4.031,3192.9,4.02,9.08,NS,
3993,"Gallery, Library and Museum Technicians",3,Technicians and Trades Workers,2,9.249,1082.0,2.97,6.99,NS,
3994,Jewellers,3,Technicians and Trades Workers,3,1.692,,8.35,13.99,S,
3995,Performing Arts Technicians,3,Technicians and Trades Workers,3,21.701,1348.7,2.69,8.3,NS,
3996,Signwriters,3,Technicians and Trades Workers,3,4.657,,4.69,10.2,NS,
3999,Other Miscellaneous Technicians and Trades Workers,3,Technicians and Trades Workers,"2,3,4",23.676,2148.4,6.68,13.9,NS,
4111,Ambulance Officers and Paramedics,4,Community and Personal Service Workers,"1,2",24.625,2686.9,11.11,22.64,S,
4112,"Dental Hygienists, Technicians and Therapists",4,Community and Personal Service Workers,"1,2",11.405,1461.1,9.5,20.65,S,
4113,Diversional Therapists,4,Community and Personal Service Workers,3,2.505,1163.4,9.61,18.52,NS,
4114,Enrolled and Mothercraft Nurses,4,Community and Personal Service Workers,2,23.785,1293.5,10.62,21.28,R,
4115,Indigenous Health Workers,4,Community and Personal Service Workers,2,2.644,1529.8,10.04,20.22,S,
4116,Massage Therapists,4,Community and Personal Service Workers,2,17.55,788.7,10.58,21.76,NS,
4117,Welfare Support Workers,4,Community and Personal Service Workers,2,85.145,1538.0,6.04,11.89,NS,
4211,Child Carers,4,Community and Personal Service Workers,"3,4",186.133,890.2,0.99,4.53,S,
4221,Education Aides,4,Community and Personal Service Workers,"3,4",127.688,909.4,5.02,9.66,NS,
4231,Aged and Disabled Carers,4,Community and Personal Service Workers,4,368.15,1027.4,10.75,18.12,S,
4232,Dental Assistants,4,Community and Personal Service Workers,4,40.264,875.6,14.49,26.82,NS,
4233,Nursing Support and Personal Care Workers,4,Community and Personal Service Workers,4,99.136,1117.7,13.8,24.68,NS,
4234,Special Care Workers,4,Community and Personal Service Workers,"3,4",4.542,1150.0,7.94,13.98,NS,
4311,Bar Attendants and Baristas,4,Community and Personal Service Workers,4,111.058,840.6,5.23,11.45,NS,
4312,Cafe Workers,4,Community and Personal Service Workers,5,30.502,691.6,5.22,11.3,,
4313,Gaming Workers,4,Community and Personal Service Workers,4,3.858,1283.9,5.05,11.25,NS,
4314,Hotel Service Managers,4,Community and Personal Service Workers,2,7.866,1345.7,4.96,12.56,NS,
4315,Waiters,4,Community and Personal Service Workers,4,136.995,638.1,5.23,11.55,NS,
4319,Other Hospitality Workers,4,Community and Personal Service Workers,5,8.312,662.4,5.25,11.34,,
4411,Defence Force Members - Other Ranks,4,Community and Personal Service Workers,3,3.984,,5.24,9.43,,
4412,Fire and Emergency Workers,4,Community and Personal Service Workers,3,22.01,2168.5,6.26,11.43,NS,
4413,Police,4,Community and Personal Service Workers,2,63.806,2471.2,6.21,11.1,NS,
4421,Prison Officers,4,Community and Personal Service Workers,4,25.039,2135.5,5.32,9.54,NS,
4422,Security Officers and Guards,4,Community and Personal Service Workers,"3,4,5",71.348,1492.8,5.5,10.65,NS,
4511,Beauty Therapists,4,Community and Personal Service Workers,3,53.054,794.0,4.23,10.56,S,
4512,Driving Instructors,4,Community and Personal Service Workers,3,4.452,1817.2,3.02,8.44,NS,
4513,Funeral Workers,4,Community and Personal Service Workers,"2,3",6.066,,4.0,10.15,NS,
4514,"Gallery, Museum and Tour Guides",4,Community and Personal Service Workers,"3,4",3.859,1011.4,3.63,9.25,S,
4515,Personal Care Consultants,4,Community and Personal Service Workers,4,3.966,,10.76,21.4,NS,
4516,Tourism and Travel Advisers,4,Community and Personal Service Workers,"3,4",14.159,1119.2,3.41,9.3,S,
4517,Travel Attendants,4,Community and Personal Service Workers,"3,4",15.622,1452.6,4.43,12.89,R,
4518,Other Personal Service Workers,4,Community and Personal Service Workers,"3,4,5",21.146,615.4,4.88,11.47,NS,
4521,Fitness Instructors,4,Community and Personal Service Workers,4,38.4,417.8,6.39,13.11,NS,
4522,Outdoor Adventure Guides,4,Community and Personal Service Workers,"2,3",3.51,996.7,5.87,12.0,S,
4523,"Sports Coaches, Instructors and Officials",4,Community and Personal Service Workers,"2,3,4",62.482,456.8,5.86,12.11,NS,
4524,Sportspersons,4,Community and Personal Service Workers,3,13.081,1381.4,6.45,12.71,NS,
5111,"Contract, Program and Project Administrators",5,Clerical and Administrative Workers,2,137.312,2036.7,9.54,17.33,NS,
